model,feature_importance,precision,recall,false_positive,false_negative,final_accuracy_train,final_accuracy_test,f1
model_tf,,0.5703056768558952,0.4880418535127055,492,685,0.5359555025824394,0.5325655281969818,0.5259766411598872
model_rf,"[1.08565748e-01 1.37363406e-01 6.05872244e-02 1.20284725e-01
 3.73589984e-02 2.53011227e-02 8.93606076e-02 6.94803266e-02
 2.15798553e-02 6.37507822e-03 3.65231271e-03 1.34090650e-04
 1.20294043e-02 0.00000000e+00 1.79841104e-02 1.56100806e-02
 1.20233670e-04 1.28116041e-02 1.26909969e-02 1.14545601e-03
 7.35998402e-05 1.19385467e-04 1.03026027e-04 0.00000000e+00
 0.00000000e+00 3.28384061e-02 3.36430411e-03 6.60581021e-05
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.54990946e-02
 2.32390545e-02 8.43484865e-02 8.43004923e-03 1.48872628e-02
 1.70720816e-02 7.37347277e-03 7.21842990e-03 1.66812350e-02
 1.62506715e-02 0.00000000e+00]",0.594896331738437,0.5575485799701047,508,592,0.8160508541914978,0.5631453534551231,0.5756172839506173
model_xgb,"[0.11125887 0.04050827 0.03243043 0.030754   0.02803075 0.02782686
 0.15478271 0.04486504 0.03237859 0.03420331 0.03211198 0.
 0.         0.         0.02672274 0.02995189 0.         0.
 0.0399759  0.         0.         0.         0.         0.
 0.         0.03473686 0.         0.         0.         0.
 0.         0.00871662 0.09976441 0.07947934 0.02475673 0.
 0.01509132 0.03541299 0.02135045 0.01488992 0.         0.        ]",0.5955766192733017,0.5635276532137519,512,584,0.6034962256654748,0.5647339158061954,0.5791090629800307
